application|creation_date|version
Beat Maker Go - Make Music|2018-07-27|Version 2.2.2 
Beat Maker Go - Make Music|2018-07-26|Version 2.2.1 
Beat Maker Go - Make Music|2018-05-24|Version 2.1 
Beat Maker Go - Make Music|2018-05-07|Version 2.0 
Beat Maker Go - Make Music|2018-04-05|Version 1.19.5 
Beat Maker Go - Make Music|2018-04-03|Version 1.19.4 
Beat Maker Go - Make Music|2018-03-28|Version 1.19.3 
Beat Maker Go - Make Music|2018-03-23|Version 1.19.2 
Beat Maker Go - Make Music|2018-03-20|Version 1.19.1 
Beat Maker Go - Make Music|2017-12-07|Version 1.14 
Beat Maker Go - Make Music|2017-11-23|Version 1.13 
Beat Maker Go - Make Music|2017-10-24|Version 1.12.2 
Beat Maker Go - Make Music|2017-10-21|Version 1.12.1 
Beat Maker Go - Make Music|2017-10-21|Version 1.12 
Beat Maker Go - Make Music|2017-10-09|Version 1.11 
Beat Maker Go - Make Music|2017-09-25|Version 1.10.1 
Beat Maker Go - Make Music|2017-09-20|Version 1.10 
Beat Maker Go - Make Music|2017-08-30|Version 1.8 
Beat Maker Star - Rhythm Game|2018-07-07|Version 1.0.1 
Beat Maker Star - Rhythm Game|2018-06-30|Version 1.0 
Chromatic Guitar Tuner Free: Ukulele, Bass, Violin|2018-04-02|Version 2.4.9 
Chromatic Guitar Tuner Free: Ukulele, Bass, Violin|2018-03-27|Version 2.4.8 
Chromatic Guitar Tuner Free: Ukulele, Bass, Violin|2017-07-11|Version 2.4.8 
Drum Pads - Beat Maker Go|2018-07-31|Version 1.7.3 
Drum Pads - Beat Maker Go|2018-07-30|Version 1.6 
Drum Pads - Beat Maker Go|2018-07-27|Version 1.6 
Drum Pads - Beat Maker Go|2018-07-26|Version 1.6 
Drum Pads - Beat Maker Go|2018-06-29|Version 1.6 
Drum Pads - Beat Maker Go|2018-06-21|Version 1.5 
Drum Pads - Beat Maker Go|2018-06-19|Version 1.4 
Drum Pads - Beat Maker Go|2018-05-30|Version 1.4 
Drum Pads - Beat Maker Go|2018-05-29|Version 1.3.1 
Drum Pads - Beat Maker Go|2018-05-09|Version 1.3.1 
Drum Pads - Beat Maker Go|2018-05-07|Version 1.2 
Drum Pads - Beat Maker Go|2018-04-26|Version 1.2 
Drum Pads - Beat Maker Go|2018-04-25|Version 1.1.1 
Drum Pads - Beat Maker Go|2018-04-13|Version 1.1.1 
Drum Pads - Beat Maker Go|2018-04-12|Version 1.0.4 
Drum Pads - Beat Maker Go|2018-04-11|Version 1.0.4 
Drum Pads - Beat Maker Go|2018-03-16|Version 1.0.4 
Drum Pads - Beat Maker Go|2018-03-15|Version 1.0.4 
Drum Pads - Beat Maker Go|2018-03-13|Version 1.0.3 
Drum Pads - Beat Maker Go|2018-03-12|Version 1.0.2 
Drum Pads - Beat Maker Go|2018-03-06|Version 1.0.2 
Drum Pads - Beat Maker Go|2018-03-05|Version 1.0.1 
Drum Pads - Beat Maker Go|2018-03-02|Version 1.0 
Guitar - Chords, Tabs & Games|2018-06-27|Version 3.9.6 
Guitar - Chords, Tabs & Games|2018-06-16|Version 3.9.4 
Guitar - Chords, Tabs & Games|2018-06-12|Version 3.9.3 
Guitar - Chords, Tabs & Games|2018-05-27|Version 3.9.2 
Guitar - Chords, Tabs & Games|2018-05-19|Version 3.9.1 
Guitar - Chords, Tabs & Games|2018-05-15|Version 3.9 
Guitar - Chords, Tabs & Games|2018-05-12|Version 3.8 
Guitar - Chords, Tabs & Games|2017-12-31|Version 3.7 
